antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'The Killers'}),frozenset({'The Cure'}),0.01840168243953733,0.014195583596214511,0.005257623554153523,0.28571428571428575,20.12698412698413,1.0,0.004996400932772078,1.3801261829652998,0.9681306909480449,0.19230769230769235,0.27542857142857147,0.3280423280423281
frozenset({'The Killers'}),frozenset({'Train'}),0.01840168243953733,0.014195583596214511,0.005257623554153523,0.28571428571428575,20.12698412698413,1.0,0.004996400932772078,1.3801261829652998,0.9681306909480449,0.19230769230769235,0.27542857142857147,0.3280423280423281
frozenset({'Train'}),frozenset({'The Killers'}),0.014195583596214511,0.01840168243953733,0.005257623554153523,0.3703703703703704,20.12698412698413,1.0,0.004996400932772078,1.5590090925960292,0.9640000000000001,0.19230769230769235,0.35856692257335004,0.3280423280423281
"frozenset({'Everything But The Girl', 'Chlöe Howl'})",frozenset({'Coldplay'}),0.006834910620399579,0.03838065194532071,0.005257623554153523,0.7692307692307693,20.04214963119073,1.0,0.0049952952285545905,4.167017174903611,0.9566437268395976,0.13157894736842107,0.7600201875762291,0.45310853530031614
frozenset({'Coldplay'}),"frozenset({'Everything But The Girl', 'Chlöe Howl'})",0.03838065194532071,0.006834910620399579,0.005257623554153523,0.13698630136986303,20.04214963119073,1.0,0.0049952952285545905,1.1508103416620767,0.9880262438490978,0.13157894736842107,0.13104708586843805,0.45310853530031614
frozenset({'Nirvana'}),frozenset({'The Rolling Stones'}),0.014721345951629864,0.017875920084121977,0.005257623554153523,0.35714285714285715,19.978991596638657,1.0,0.004994465950391475,1.5277485687580326,0.9641408751334045,0.19230769230769235,0.3454420312022025,0.32563025210084034
frozenset({'The Rolling Stones'}),frozenset({'Nirvana'}),0.017875920084121977,0.014721345951629864,0.005257623554153523,0.29411764705882354,19.978991596638657,1.0,0.004994465950391475,1.3958114265685244,0.9672376873661671,0.19230769230769235,0.2835708456274719,0.32563025210084034
frozenset({'Eminem'}),frozenset({'Avicii'}),0.013144058885383806,0.022082018927444796,0.0057833859095688745,0.44,19.925714285714285,1.0,0.005493138552478381,1.7462821090581342,0.9624642805250159,0.1964285714285714,0.4273548387096774,0.3509523809523809
frozenset({'Avicii'}),frozenset({'Eminem'}),0.022082018927444796,0.013144058885383806,0.0057833859095688745,0.26190476190476186,19.92571428571428,1.0,0.005493138552478381,1.3370306298972219,0.9712609970674486,0.1964285714285714,0.2520739782327422,0.3509523809523809
"frozenset({'Bastille', 'Arctic Monkeys'})",frozenset({'Coldplay'}),0.008937960042060988,0.03838065194532071,0.006834910620399579,0.7647058823529412,19.924254633360196,1.0,0.006491865886924053,4.086882229232388,0.9583758416649663,0.16883116883116883,0.755314701058116,0.4713940370668816
frozenset({'Coldplay'}),"frozenset({'Bastille', 'Arctic Monkeys'})",0.03838065194532071,0.008937960042060988,0.006834910620399579,0.17808219178082194,19.924254633360196,1.0,0.006491865886924053,1.2057921486154926,0.9877192244606132,0.16883116883116883,0.17066967043348716,0.4713940370668816
frozenset({'CHVRCHES'}),frozenset({'David Bowie'}),0.015247108307045216,0.017350157728706624,0.005257623554153523,0.3448275862068966,19.87460815047022,1.0,0.004993083820119615,1.4998339697825005,0.9643886812600105,0.19230769230769235,0.3332595339569381,0.3239289446185998
frozenset({'David Bowie'}),frozenset({'CHVRCHES'}),0.017350157728706624,0.015247108307045216,0.005257623554153523,0.30303030303030304,19.87460815047022,1.0,0.004993083820119615,1.4129063228638046,0.9664526484751204,0.19230769230769235,0.29223899432121536,0.3239289446185998
frozenset({'Bastille'}),frozenset({'Passenger'}),0.023133543638275498,0.025236593059936908,0.011566771819137749,0.5,19.8125,1.0,0.010982959992304298,1.9495268138801263,0.9720129171151776,0.3142857142857143,0.48705501618122976,0.47916666666666663
frozenset({'The Script'}),frozenset({'Passenger'}),0.011566771819137749,0.025236593059936908,0.0057833859095688745,0.5,19.8125,1.0,0.005491479996152149,1.9495268138801263,0.9606382978723405,0.18644067796610167,0.48705501618122976,0.3645833333333333
frozenset({'Passenger'}),frozenset({'Bastille'}),0.025236593059936908,0.023133543638275498,0.011566771819137749,0.4583333333333333,19.8125,1.0,0.010982959992304298,1.8034457655908758,0.9741100323624595,0.3142857142857143,0.44550592034445635,0.47916666666666663
frozenset({'Passenger'}),frozenset({'The Script'}),0.025236593059936908,0.011566771819137749,0.0057833859095688745,0.22916666666666666,19.8125,1.0,0.005491479996152149,1.2822917554778752,0.9741100323624595,0.18644067796610167,0.22014627659574468,0.3645833333333333
